"Country","Year","Debt","GDPalt","GDP1","GDP2","RGDP1","RGDP2"
"Belgium","1830.000","0.620","","","","",""
"Belgium","1831.000","1.785","","","","",""
"Belgium","1832.000","3.074","","","","",""
"Belgium","1833.000","3.297","","","","",""
"Belgium","1834.000","3.272","","","","",""
"Belgium","1835.000","3.495","1496.531","37.098","","1524.908",""
"Belgium","1836.000","4.016","1665.153","41.278","","1560.216",""
"Belgium","1837.000","3.966","1744.689","43.250","","1618.298",""
"Belgium","1838.000","5.107","1770.393","43.887","","1616.904",""
"Belgium","1839.000","5.305","1851.994","45.910","","1640.548",""
"Belgium","1840.000","7.536","1842.973","45.686","","1662.889",""
"Belgium","1841.000","6.966","1863.184","46.187","","1714.387",""
"Belgium","1842.000","16.857","1791.109","44.400","","1746.849",""
"Belgium","1843.000","16.708","1744.284","43.240","","1718.625",""
"Belgium","1844.000","14.849","1726.612","42.802","","1789.158",""
"Belgium","1845.000","14.700","1795.673","44.514","","1864.931",""
"Belgium","1846.000","14.651","1922.291","47.652","","1851.702",""
"Belgium","1847.000","15.171","2182.184","54.095","","2003.864",""
"Belgium","1848.000","15.692","1842.755","45.681","","1903.669",""
"Belgium","1849.000","15.865","1854.882","45.981","","2000.100",""
"Belgium","1850.000","15.692","1877.308","46.537","","2009.705",""
"Belgium","1851.000","15.915","1925.035","47.720","","2066.364",""
"Belgium","1852.000","15.692","2058.353","51.025","","2091.794",""
"Belgium","1853.000","16.014","2338.630","57.973","","2170.370",""
"Belgium","1854.000","15.791","2758.422","68.380","","2280.117",""
"Belgium","1855.000","15.568","2851.341","70.683","","2276.660",""
"Belgium","1856.000","15.469","3057.787","75.801","","2464.966",""
"Belgium","1857.000","15.419","2986.428","74.032","","2542.511",""
"Belgium","1858.000","15.196","2863.192","70.977","","2523.947",""
"Belgium","1859.000","14.973","2873.216","71.225","","2518.420",""
"Belgium","1860.000","15.667","3154.546","78.199","","2696.842",""
"Belgium","1861.000","15.493","3212.253","79.630","","2719.846",""
"Belgium","1862.000","15.320","3274.955","81.184","","2884.286",""
"Belgium","1863.000","15.122","3326.982","82.474","","3032.944",""
"Belgium","1864.000","15.196","3553.276","88.083","","3155.471",""
"Belgium","1865.000","16.187","3611.416","89.525","","3206.395",""
"Belgium","1866.000","16.113","3896.739","96.598","","3324.568",""
"Belgium","1867.000","16.634","3894.840","96.551","","3322.268",""
"Belgium","1868.000","17.328","4052.479","100.458","","3535.481",""
"Belgium","1869.000","16.981","4255.078","105.481","","3874.808",""
"Belgium","1870.000","16.931","4518.981","112.023","","3981.952",""
"Belgium","1871.000","18.518","4664.126","115.621","","3928.432",""
"Belgium","1872.000","18.270","5585.691","138.466","","4212.218",""
"Belgium","1873.000","23.971","5974.788","148.111","","4044.195",""
"Belgium","1874.000","24.665","5791.151","143.559","","4383.308",""
"Belgium","1875.000","24.938","5204.981","129.028","","4290.556",""
"Belgium","1876.000","26.574","5073.817","125.777","","4341.423",""
"Belgium","1877.000","29.004","5083.417","126.015","","4380.228",""
"Belgium","1878.000","31.210","4998.701","123.915","","4487.805",""
"Belgium","1879.000","31.879","4896.125","121.372","","4491.475",""
"Belgium","1880.000","35.399","5451.671","135.143","","4702.924",""
"Belgium","1881.000","36.540","5512.749","136.657","","4752.699",""
"Belgium","1882.000","40.382","5568.027","138.028","","4963.307",""
"Belgium","1883.000","43.753","5500.075","136.343","","5026.597",""
"Belgium","1884.000","43.828","5049.432","125.172","","4899.638",""
"Belgium","1885.000","43.927","4925.756","122.106","","4986.496",""
"Belgium","1886.000","47.372","4766.181","118.151","","4947.738",""
"Belgium","1887.000","47.992","5041.738","124.981","","5188.801",""
"Belgium","1888.000","48.290","5146.137","127.569","","5176.529",""
"Belgium","1889.000","49.405","5388.418","133.575","","5471.360",""
"Belgium","1890.000","50.248","5587.051","138.499","","5423.129",""
"Belgium","1891.000","51.364","5540.403","137.343","","5452.476",""
"Belgium","1892.000","53.223","5366.119","133.023","","5489.262",""
"Belgium","1893.000","54.289","5349.662","132.615","","5694.818",""
"Belgium","1894.000","55.156","5210.060","129.154","","5756.144",""
"Belgium","1895.000","55.702","5334.312","132.234","","5826.169",""
"Belgium","1896.000","57.214","5435.035","134.731","","6052.877",""
"Belgium","1897.000","58.751","5730.721","142.061","","6217.153",""
"Belgium","1898.000","64.799","5778.266","143.239","","6294.211",""
"Belgium","1899.000","65.964","6091.437","151.003","","6353.726",""
"Belgium","1900.000","67.154","6328.970","156.891","","6305.168",""
"Belgium","1901.000","69.881","6127.252","151.891","","6332.033",""
"Belgium","1902.000","71.740","6258.808","155.152","","6638.114",""
"Belgium","1903.000","74.641","6442.476","159.705","","6837.314",""
"Belgium","1904.000","78.210","6656.833","165.019","","7120.016",""
"Belgium","1905.000","80.466","6883.684","170.642","","7326.220",""
"Belgium","1906.000","82.524","7329.423","181.692","","7432.241",""
"Belgium","1907.000","84.680","7655.001","189.763","","7512.062",""
"Belgium","1908.000","89.390","7290.178","180.719","","7619.852",""
"Belgium","1909.000","92.415","7312.522","181.273","","7739.510",""
"Belgium","1910.000","95.191","7735.108","191.748","","8108.215",""
"Belgium","1911.000","97.571","7984.995","197.943","","8350.927",""
"Belgium","1912.000","101.438","8402.655","208.296","","8618.456",""
"Belgium","1913.000","106.049","8647.446","214.365","","8781.398",""
"Belgium","1914.000","123.501","","","","",""
"Belgium","1915.000","","","","","",""
"Belgium","1916.000","","","","","",""
"Belgium","1917.000","","","","","",""
"Belgium","1918.000","","","","","",""
"Belgium","1919.000","547.324","","","","",""
"Belgium","1920.000","725.783","28518.859","706.964","","6209.522",""
"Belgium","1921.000","827.270","28480.632","706.016","","6657.149",""
"Belgium","1922.000","932.278","29126.701","722.032","","7354.004",""
"Belgium","1923.000","1031.733","35221.872","873.127","","7683.320",""
"Belgium","1924.000","1022.710","42557.844","1054.981","","8231.504",""
"Belgium","1925.000","1190.880","44716.556","1108.494","","8456.263",""
"Belgium","1926.000","1436.097","55235.215","1369.245","","8873.801",""
"Belgium","1927.000","1392.963","70110.253","1737.988","","9221.091",""
"Belgium","1928.000","1372.289","79721.457","1976.243","","9707.295",""
"Belgium","1929.000","1312.150","89484.654","2218.267","","9922.052",""
"Belgium","1930.000","1293.087","90645.237","2247.037","","9722.192",""
"Belgium","1931.000","1283.444","82336.783","2041.076","","9212.848",""
"Belgium","1932.000","1357.564","70724.012","1753.202","","8491.751",""
"Belgium","1933.000","1224.668","68935.514","1708.867","","8444.004",""
"Belgium","1934.000","1178.783","66675.468","1652.842","","8352.854",""
"Belgium","1935.000","1374.594","65362.049","1620.283","","8271.101",""
"Belgium","1936.000","1390.360","71496.473","1772.351","","8776.446",""
"Belgium","1937.000","1426.578","85638.003","2122.911","","9915.363",""
"Belgium","1938.000","1401.640","83018.095","2057.965","","9263.501",""
"Belgium","1939.000","1430.792","81957.546","2031.674","","8933.174",""
"Belgium","1940.000","1551.813","","","","",""
"Belgium","1941.000","2027.769","","","","",""
"Belgium","1942.000","2555.782","","","","",""
"Belgium","1943.000","3170.558","","","","",""
"Belgium","1944.000","4278.642","","","","",""
"Belgium","1945.000","5099.170","","","","",""
"Belgium","1946.000","6308.890","215198.701","5334.636","","8470.560",""
"Belgium","1947.000","6400.611","261754.465","6488.724","","9759.466",""
"Belgium","1948.000","6095.702","331220.797","8210.749","","10876.003",""
"Belgium","1949.000","6256.833","322539.181","7995.537","","10733.894",""
"Belgium","1950.000","6165.112","337527.546","8367.089","","11339.427",""
"Belgium","1951.000","6308.890","394747.035","9785.523","","12136.936",""
"Belgium","1952.000","6603.883","402089.746","9967.544","","12084.805",""
"Belgium","1953.000","6998.034","412357.000","10222.063","","12439.020",""
"Belgium","1954.000","7392.185","426845.076","10581.213","","12281.203",""
"Belgium","1955.000","7724.362","454066.336","11256.010","","12913.625",""
"Belgium","1956.000","7878.056","482319.157","11956.380","","13227.705",""
"Belgium","1957.000","8021.834","514972.449","12765.834","","13630.639",""
"Belgium","1958.000","8569.679","514675.040","12758.461","","13426.915",""
"Belgium","1959.000","9258.823","531443.999","13174.153","","13774.326",""
"Belgium","1960.000","9819.063","568543.998","14093.838","","14659.762",""
"Belgium","1961.000","10188.424","604632.000","14988.436","","15387.412",""
"Belgium","1962.000","10490.854","644517.000","15977.159","","16095.381",""
"Belgium","1963.000","11056.051","698511.000","17315.635","","17090.820",""
"Belgium","1964.000","11455.160","778356.000","19294.941","","18312.992",""
"Belgium","1965.000","12121.993","847506.000","21009.125","","18943.412",""
"Belgium","1966.000","12578.117","917000.000","22731.836","","19655.433",""
"Belgium","1967.000","13111.089","978054.000","24245.325","","20312.929",""
"Belgium","1968.000","14137.368","1040807.000","25800.932","","21370.012",""
"Belgium","1969.000","14833.949","1145968.000","28407.805","","22978.986",""
"Belgium","1970.000","15414.000","1286626.000","31894.625","","24148.887",""
"Belgium","1971.000","15981.700","1417448.000","35137.618","","25334.539",""
"Belgium","1972.000","17640.100","1588045.000","39366.607","","26937.594",""
"Belgium","1973.000","18956.400","1813335.000","44951.400","","28931.541",""
"Belgium","1974.000","20361.900","2123424.000","52638.306","","29836.720",""
"Belgium","1975.000","23024.300","2343449.000","58092.583","","28972.439",""
"Belgium","1976.000","26244.500","2688133.000","66637.076","","30628.232",""
"Belgium","1977.000","30458.700","2910990.000","72161.557","","30970.235",""
"Belgium","1978.000","35371.900","3133679.000","77681.873","","31924.849",""
"Belgium","1979.000","40628.000","3328919.000","82521.746","","32864.478",""
"Belgium","1980.000","48508.000","3613097.000","89566.335","87805.000","34181.634","184848.000"
"Belgium","1981.000","60465.000","3744989.000","92835.852","92452.000","33615.727","185118.000"
"Belgium","1982.000","76475.000","4098377.000","101596.112","100037.000","34451.062","186193.000"
"Belgium","1983.000","92116.000","4345857.000","107730.981","106062.000","34367.947","186933.000"
"Belgium","1984.000","105723.000","4652462.000","115331.520","114226.000","34761.910","190862.000"
"Belgium","1985.000","121829.000","5009229.000","124175.543","121669.000","35497.416","194388.000"
"Belgium","1986.000","134316.000","5303832.000","131478.561","127385.000","36236.226","197991.000"
"Belgium","1987.000","145576.000","5523472.000","136923.294","132626.000","36989.439","202690.000"
"Belgium","1988.000","157716.000","5860411.000","145275.794","141707.000","38729.735","211944.000"
"Belgium","1989.000","168275.000","6347934.000","157361.173","153888.000","40138.272","219612.000"
"Belgium","1990.000","179094.000","6760830.000","167596.598","163065.000","41517.642","226398.000"
"Belgium","1991.000","192141.000","","","170762.000","","230474.000"
"Belgium","1992.000","205472.000","","","178959.000","","233543.000"
"Belgium","1993.000","224914.000","","","184822.000","","231926.000"
"Belgium","1994.000","231429.000","","","194896.000","","239560.000"
"Belgium","1995.000","236230.000","","","201859.000","","249807.000"
"Belgium","1996.000","238122.000","","","211026.000","","252031.000"
"Belgium","1997.000","243081.000","","","221203.000","","261324.000"
"Belgium","1998.000","241903.000","","","229636.000","","265845.000"
"Belgium","1999.000","246755.000","","","238088.000","","274830.000"
"Belgium","2000.000","251061.000","","","251754.000","","285262.000"
"Belgium","2001.000","257164.000","","","258893.000","","287445.000"
"Belgium","2002.000","262753.000","","","267606.000","","291742.000"
"Belgium","2003.000","263019.000","","","274738.000","","294698.000"
"Belgium","2004.000","269780.000","","","288999.000","","302898.000"
"Belgium","2005.000","277930.000","","","302620.000","","309472.000"
"Belgium","2006.000","278600.000","","","318803.000","","318803.000"
"Belgium","2007.000","285810.000","","","334902.000","","327088.000"
"Belgium","2008.000","310830.000","","","343941.000","","330258.000"
"Belgium","2009.000","324640.000","","","336028.000","","319748.000"
"Belgium","2010.000","","","","",""," "
