"Country","Year","Debt1","Debt2","Debtalt","GDP1","GDP2","GDP2alt","RGDP1","RGDP2","RGDP2alt","Infl"
"Finland","1860.00","","","","3.07","","","1667.00","","",""
"Finland","1861.00","","","","3.07","","","1680.00","","","10.38"
"Finland","1862.00","","","","3.31","","","1590.00","","","17.43"
"Finland","1863.00","","","","3.17","","","1718.00","","","-6.95"
"Finland","1864.00","","","","3.33","","","1756.00","","","-5.32"
"Finland","1865.00","","","","3.32","","","1744.00","","","2.27"
"Finland","1866.00","","","","3.46","","","1763.00","","","-7.71"
"Finland","1867.00","","","","3.31","","","1622.00","","","7.08"
"Finland","1868.00","","","","2.90","","","1782.00","","","-1.06"
"Finland","1869.00","","","","3.29","","","1910.00","","","-8.96"
"Finland","1870.00","","","","3.48","","","1999.00","","","-4.99"
"Finland","1871.00","","","","3.63","","","2012.54","","","6.49"
"Finland","1872.00","","","","3.82","","","2082.81","","","7.26"
"Finland","1873.00","","","","4.08","","","2204.21","","","0.00"
"Finland","1874.00","","","","4.46","","","2255.32","","","7.98"
"Finland","1875.00","","","","4.83","","","2300.04","","","0.00"
"Finland","1876.00","","","","4.84","","","2427.82","","","0.00"
"Finland","1877.00","","","","5.15","","","2370.32","","","-3.13"
"Finland","1878.00","","","","4.99","","","2325.60","","","-9.83"
"Finland","1879.00","","","","4.29","","","2351.15","","","-7.17"
"Finland","1880.00","","","","4.11","","","2363.93","","","11.75"
"Finland","1881.00","","","","4.52","","","2300.04","","","5.81"
"Finland","1882.00","","","","4.55","","","2523.66","","","-6.67"
"Finland","1883.00","","","","4.84","","","2619.49","","","-3.50"
"Finland","1884.00","","","","4.92","","","2638.66","","","-1.16"
"Finland","1885.00","","","","4.81","","","2702.55","","","-6.17"
"Finland","1886.00","","","","4.72","","","2836.72","","","-9.23"
"Finland","1887.00","","","","4.62","","","2881.44","","","-2.93"
"Finland","1888.00","","","","4.62","","","2990.05","","","1.42"
"Finland","1889.00","","","","4.80","","","3092.28","","","5.95"
"Finland","1890.00","","","","5.33","","","3264.78","","","4.13"
"Finland","1891.00","","","","5.62","","","3232.83","","","13.33"
"Finland","1892.00","","","","5.97","","","3137.00","","","4.76"
"Finland","1893.00","","","","5.83","","","3258.39","","","-5.61"
"Finland","1894.00","","","","5.89","","","3513.95","","","-9.49"
"Finland","1895.00","","","","6.06","","","3705.62","","","-2.66"
"Finland","1896.00","","","","6.29","","","3948.40","","","1.29"
"Finland","1897.00","","","","6.78","","","4140.07","","","3.97"
"Finland","1898.00","","","","7.49","","","4318.96","","","3.97"
"Finland","1899.00","","","","8.25","","","4216.74","","","3.67"
"Finland","1900.00","","","","8.53","","","4414.80","","","2.41"
"Finland","1901.00","","","","9.12","","","4363.69","","","-1.24"
"Finland","1902.00","","","","9.00","","","4274.24","","","0.00"
"Finland","1903.00","","","","8.77","","","4561.75","","","-1.12"
"Finland","1904.00","","","","9.64","","","4734.25","","","1.13"
"Finland","1905.00","","","","9.87","","","4810.92","","","-1.12"
"Finland","1906.00","","","","10.35","","","5002.59","","","4.67"
"Finland","1907.00","","","","10.94","","","5175.09","","","3.52"
"Finland","1908.00","","","","11.59","","","5232.59","","","4.31"
"Finland","1909.00","","","","11.82","","","5462.60","","","-1.00"
"Finland","1910.00","","","","12.15","","","5583.99","","","0.00"
"Finland","1911.00","","","","12.57","","","5743.71","","","4.30"
"Finland","1912.00","","","","13.32","","","6063.16","","","1.94"
"Finland","1913.00","","","","14.33","","","6389.00","","","0.00"
"Finland","1914.00","1.71","","171.20","15.01","","","6107.88","","","0.00"
"Finland","1915.00","1.79","","179.40","14.95","","","5801.21","","","20.00"
"Finland","1916.00","1.98","","197.50","16.45","","","5877.88","","","33.43"
"Finland","1917.00","2.41","","240.50","23.17","","","4938.70","","","93.68"
"Finland","1918.00","10.48","","1048.20","37.14","","","4280.63","","","241.96"
"Finland","1919.00","18.36","","1836.00","53.73","","","5168.70","","","-11.33"
"Finland","1920.00","19.36","","1936.10","81.74","","","5782.05","","","0.00"
"Finland","1921.00","19.34","","1933.80","129.83","","","5973.72","","","15.37"
"Finland","1922.00","18.78","","1877.80","152.61","","","6606.23","","","-1.88"
"Finland","1923.00","24.15","","2415.20","164.98","","","7091.79","","","0.96"
"Finland","1924.00","22.79","","2279.40","174.57","","","7277.07","","","2.88"
"Finland","1925.00","24.75","","2475.30","186.65","","","7692.36","","","1.31"
"Finland","1926.00","28.47","","2846.80","200.11","","","7986.25","","","-1.23"
"Finland","1927.00","26.95","","2695.00","210.53","","","8612.37","","","2.73"
"Finland","1928.00","29.40","","2939.60","234.35","","","9193.77","","","1.86"
"Finland","1929.00","30.24","","3023.60","251.83","","","9302.38","","","-1.92"
"Finland","1930.00","30.57","","3057.10","245.28","","","9193.77","","","-9.66"
"Finland","1931.00","32.42","","3242.20","220.70","","","8970.16","","","-5.60"
"Finland","1932.00","34.72","","3471.90","196.84","","","8931.82","","","-1.72"
"Finland","1933.00","35.08","","3507.70","200.03","","","9526.00","","","-2.95"
"Finland","1934.00","33.82","","3381.80","210.74","","","10605.74","","","-0.01"
"Finland","1935.00","31.66","","3166.00","236.67","","","11059.36","","","1.06"
"Finland","1936.00","31.19","","3119.20","248.84","","","11806.87","","","0.30"
"Finland","1937.00","34.53","","3452.50","274.54","","","12477.72","","","6.12"
"Finland","1938.00","33.71","","3371.30","325.46","","","13123.01","","","1.20"
"Finland","1939.00","56.36","","5636.40","352.45","","","12560.77","","","3.57"
"Finland","1940.00","167.07","","16706.80","342.72","","","11909.10","","","21.32"
"Finland","1941.00","272.35","","27235.10","397.70","","","12298.83","","","16.96"
"Finland","1942.00","366.55","","36655.30","475.44","","","12337.16","","","19.11"
"Finland","1943.00","516.22","","51621.90","573.13","","","13755.52","","","11.18"
"Finland","1944.00","673.22","","67321.60","740.51","","","13761.91","","","4.32"
"Finland","1945.00","855.06","","85505.50","844.04","","","12963.28","","","82.53"
"Finland","1946.00","935.62","","93562.00","1324.83","","","14017.47","","","39.68"
"Finland","1947.00","1007.54","","100754.00","1917.37","","","14343.31","","","42.01"
"Finland","1948.00","1033.25","","103325.00","2648.67","","","15480.55","","","22.64"
"Finland","1949.00","957.00","","95700.00","3591.96","","","16419.73","","","2.57"
"Finland","1950.00","971.00","","97100.00","3811.54","912.25","","17051.00","","","17.40"
"Finland","1951.00","924.00","","92400.00","4820.59","1328.85","","18501.00","","","13.34"
"Finland","1952.00","926.00","","92600.00","7056.13","1375.78","","19121.00","","","3.02"
"Finland","1953.00","1329.00","","132900.00","7258.21","1357.95","","19255.00","","","0.67"
"Finland","1954.00","1360.00","","136000.00","7178.22","1508.65","","20941.00","","","-2.76"
"Finland","1955.00","1367.00","","136700.00","8022.07","1676.83","","22008.00","","","-0.12"
"Finland","1956.00","1506.00","","150600.00","9076.95","1855.11","","22673.00","","","14.29"
"Finland","1957.00","1690.00","","169000.00","10006.39","2021.62","","23739.00","","","10.73"
"Finland","1958.00","1720.00","","172000.00","10706.93","2178.03","","23867.00","","","6.64"
"Finland","1959.00","1746.00","","174600.00","11600.97","2368.09","","25285.00","","","1.84"
"Finland","1960.00","1614.00","","161400.00","12615.24","2724.64","","27598.00","","","3.10"
"Finland","1961.00","1678.00","","167800.00","16567.00","3087.93","","29701.00","","","1.67"
"Finland","1962.00","2036.00","","2036000.00","17679.00","3306.57","","30627.00","","","4.90"
"Finland","1963.00","2610.00","","2610000.00","19418.00","3590.81","","31636.00","","","5.05"
"Finland","1964.00","3004.00","","3004000.00","22039.00","4049.97","","33235.00","","","10.17"
"Finland","1965.00","3446.00","","3446000.00","24218.00","4478.84","","35002.00","","","4.47"
"Finland","1966.00","3930.00","","3930000.00","25883.00","4801.77","","35843.00","","","4.30"
"Finland","1967.00","4431.00","","4431000.00","27992.00","5267.65","","36600.00","","","6.19"
"Finland","1968.00","4995.00","","4995000.00","31840.00","6039.63","","37442.00","","","7.96"
"Finland","1969.00","4426.00","","4426000.00","36624.00","6894.02","","41048.00","","","2.07"
"Finland","1970.00","4200.00","","4200000.00","41078.00","7849.67","","44114.00","","","2.86"
"Finland","1971.00","3993.00","","3993000.00","44915.00","8626.36","","45036.00","","","7.22"
"Finland","1972.00","3842.00","","3842000.00","52335.00","10059.82","","48473.00","","","7.10"
"Finland","1973.00","3154.00","","3154000.00","63799.00","12244.59","","51724.00","","","12.26"
"Finland","1974.00","2681.00","","2681000.00","81760.00","15430.91","","53291.00","","","17.00"
"Finland","1975.00","3544.00","","3544.00","96237.59","17770.06","18045.00","53905.00","","69620.00","17.92"
"Finland","1976.00","4627.00","","4627.00","108592.81","20222.08","20474.00","53676.00","","69806.00","13.65"
"Finland","1977.00","6718.00","","6718.00","118165.44","22271.95","22527.00","53808.00","","70037.00","12.36"
"Finland","1978.00","12227.00","2051.00","2051.00","129444.49","24554.93","24882.00","54934.00","","71859.00","7.27"
"Finland","1979.00","15218.00","2555.00","2555.00","151158.29","28464.97","28864.00","58756.00","","76876.00","7.79"
"Finland","1980.00","17585.00","3021.00","3021.00","174037.46","32795.97","33322.00","61890.00","80590.00","80810.00","11.60"
"Finland","1981.00","21451.00","3717.00","3717.00","196625.29","37138.08","37665.00","63043.00","81613.00","81835.00","12.00"
"Finland","1982.00","29398.00","5087.00","5087.00","220610.37","41672.93","42368.00","65090.00","84081.00","84310.00","9.30"
"Finland","1983.00","37681.00","6412.00","6412.00","246135.38","46510.02","47216.00","66849.00","86559.00","86796.00","8.40"
"Finland","1984.00","","7446.00","7446.00","273854.38","52056.01","52824.00","68866.00","89194.00","89437.00","7.00"
"Finland","1985.00","","7902.00","7902.00","296810.84","56663.02","57499.00","71184.00","92120.00","92371.00","5.82"
"Finland","1986.00","","8745.00","8745.00","315860.96","60502.07","61864.00","72873.00","94539.00","94797.00","2.90"
"Finland","1987.00","","9841.00","9841.00","341950.82","65693.03","66814.00","75861.00","97903.00","98170.00","4.08"
"Finland","1988.00","","9769.00","9769.00","379902.42","74579.07","75712.00","79581.00","102897.00","103177.00","5.14"
"Finland","1989.00","","8899.00","8899.00","424947.27","83098.96","84780.00","84092.00","108469.00","108765.00","6.57"
"Finland","1990.00","","9089.00","9089.00","452125.20","88080.02","89747.00","84103.00","108558.00","108854.00","4.96"
"Finland","1991.00","","14204.00","14204.00","432147.55","84043.00","85698.00","78731.05","101780.00","102057.00","4.16"
"Finland","1992.00","","27849.00","27849.00","422366.82","82007.93","83041.00","75731.07","97978.00","98245.00","2.87"
"Finland","1993.00","","43030.00","43030.00","428544.44","83082.99","83924.00","74790.22","97076.00","97341.00","2.20"
"Finland","1994.00","","51722.00","51722.00","455234.82","87889.96","88103.00","77733.39","100545.00","100822.00","1.08"
"Finland","1995.00","","60121.00","60121.00","490653.53","95912.02","95912.00","80411.97","104490.00","104780.00","1.00"
"Finland","1996.00","","66121.00","66121.00","509727.43","99258.96","99259.00","83461.51","108356.00","108650.00","1.07"
"Finland","1997.00","","69770.00","69770.00","547863.35","107576.03","107576.00","88627.97","115074.00","115268.00","1.22"
"Finland","1998.00","","69795.00","69795.00","595274.60","117057.96","117058.00","93640.00","121087.00","121246.00","1.35"
"Finland","1999.00","","68052.00","68052.00","617553.25","122685.02","122685.00","97261.00","125835.00","125960.00","1.32"
"Finland","2000.00","","63236.00","63236.00","677319.72","132198.06","132198.00","102185.00","132198.00","132272.00","2.95"
"Finland","2001.00","","61760.00","61760.00","704580.90","139789.06","139789.00","104880.00","135774.00","135759.00","2.66"
"Finland","2002.00","","59253.00","59253.00","143.97","143808.08","143808.00","106570.00","137910.00","137989.00","2.00"
"Finland","2003.00","","63320.00","63320.00","145.94","145795.05","145795.00","108490.00","140407.00","140437.00","1.30"
"Finland","2004.00","","63788.00","63788.00","151.94","152151.04","152151.00","112500.00","145597.00","145363.00","0.14"
"Finland","2005.00","","60044.00","60044.00","157.38","157070.03","157070.00","115800.00","149627.00","149616.00","0.78"
"Finland","2006.00","","58895.00","58895.00","","167008.93","167009.00","121580.00","156993.00","","1.28"
"Finland","2007.00","","56068.00","56068.00","","179658.34","179659.00","","163591.00","","1.58"
"Finland","2008.00","","54382.00","54382.00","","184728.00","184728.00","","165294.00","","3.90"
"Finland","2009.00","","58968.00","58968.00","","176448.00","176448.00","","154788.00","","1.00"
"Finland","2010.00","","","","","","","","156237.00","",""
