"Country","Year","Debt","GDP","RGDP","GDPI"
"UK","1830.0000","796.7420","483.0000","39559.0000","1.2200"
"UK","1831.0000","783.1000","480.0000","41326.0000","1.1600"
"UK","1832.0000","781.1000","459.0000","40737.0000","1.1300"
"UK","1833.0000","779.8000","453.0000","41326.0000","1.1000"
"UK","1834.0000","779.6000","481.0000","43094.0000","1.1200"
"UK","1835.0000","772.2000","508.0000","45282.0000","1.1200"
"UK","1836.0000","787.5000","542.0000","46124.0000","1.1700"
"UK","1837.0000","788.4000","521.0000","45787.0000","1.1400"
"UK","1838.0000","786.3000","553.0000","48312.0000","1.1400"
"UK","1839.0000","785.4000","582.0000","50417.0000","1.1600"
"UK","1840.0000","786.5000","546.0000","48986.0000","1.1100"
"UK","1841.0000","787.4000","520.0000","47218.0000","1.1000"
"UK","1842.0000","790.9000","500.0000","46882.0000","1.0700"
"UK","1843.0000","791.3000","498.0000","48312.0000","1.0300"
"UK","1844.0000","790.6000","543.0000","50922.0000","1.0700"
"UK","1845.0000","787.6000","575.0000","53615.0000","1.0700"
"UK","1846.0000","785.1000","614.0000","57234.0000","1.0700"
"UK","1847.0000","782.9000","638.0000","55803.0000","1.1400"
"UK","1848.0000","790.3000","614.0000","57571.0000","1.0700"
"UK","1849.0000","791.8000","625.0000","58413.0000","1.0700"
"UK","1850.0000","790.9000","572.0000","57403.0000","1.0000"
"UK","1851.0000","787.0000","601.0000","59928.0000","1.0000"
"UK","1852.0000","782.9000","607.0000","61106.0000","0.9900"
"UK","1853.0000","779.4000","678.0000","62873.0000","1.0800"
"UK","1854.0000","771.3000","718.0000","63968.0000","1.1200"
"UK","1855.0000","805.0000","739.0000","64893.0000","1.1400"
"UK","1856.0000","834.0000","769.0000","67587.0000","1.1400"
"UK","1857.0000","836.0000","779.0000","68631.0000","1.1300"
"UK","1858.0000","830.0000","752.0000","68394.0000","1.1000"
"UK","1859.0000","827.0000","794.0000","71369.0000","1.1100"
"UK","1860.0000","822.0000","812.0000","72721.0000","1.1200"
"UK","1861.0000","821.0000","847.0000","73931.0000","1.1500"
"UK","1862.0000","824.0000","860.0000","74672.0000","1.1500"
"UK","1863.0000","825.0000","896.0000","76501.0000","1.1700"
"UK","1864.0000","821.0000","945.0000","77789.0000","1.2100"
"UK","1865.0000","816.0000","975.0000","81080.0000","1.2000"
"UK","1866.0000","807.0000","1020.0000","82016.0000","1.2400"
"UK","1867.0000","805.0000","1002.0000","81245.0000","1.2300"
"UK","1868.0000","806.0000","1001.0000","83723.0000","1.2000"
"UK","1869.0000","805.0000","1006.0000","85218.0000","1.1800"
"UK","1870.0000","801.0000","1064.0000","92071.0000","1.1600"
"UK","1871.0000","796.0000","1150.0000","96987.0000","1.1900"
"UK","1872.0000","793.0000","1220.0000","97396.0000","1.2500"
"UK","1873.0000","785.0000","1280.0000","98302.0000","1.3000"
"UK","1874.0000","779.0000","1272.0000","102182.0000","1.2500"
"UK","1875.0000","775.0000","1245.0000","103338.0000","1.2100"
"UK","1876.0000","777.0000","1229.0000","104081.0000","1.1800"
"UK","1877.0000","770.0000","1216.0000","104733.0000","1.1600"
"UK","1878.0000","772.0000","1184.0000","105079.0000","1.1300"
"UK","1879.0000","773.0000","1142.0000","103079.0000","1.1100"
"UK","1880.0000","772.0000","1218.0000","110372.0000","1.1000"
"UK","1881.0000","766.0000","1243.0000","112780.0000","1.1000"
"UK","1882.0000","761.0000","1283.0000","114646.0000","1.1200"
"UK","1883.0000","754.0000","1285.0000","118047.0000","1.0900"
"UK","1884.0000","746.0000","1244.0000","116995.0000","1.0600"
"UK","1885.0000","740.0000","1217.0000","116119.0000","1.0500"
"UK","1886.0000","742.0000","1226.0000","116847.0000","1.0500"
"UK","1887.0000","736.0000","1278.0000","121556.0000","1.0500"
"UK","1888.0000","706.0000","1333.0000","125338.0000","1.0600"
"UK","1889.0000","698.0000","1408.0000","129385.0000","1.0900"
"UK","1890.0000","690.0000","1442.0000","130532.0000","1.1000"
"UK","1891.0000","684.0000","1444.0000","133582.0000","1.0800"
"UK","1892.0000","678.0000","1405.0000","130946.0000","1.0700"
"UK","1893.0000","671.0000","1406.0000","130119.0000","1.0800"
"UK","1894.0000","666.0000","1484.0000","136123.0000","1.0900"
"UK","1895.0000","657.0000","1521.0000","140621.0000","1.0800"
"UK","1896.0000","648.0000","1570.0000","146610.0000","1.0700"
"UK","1897.0000","641.0000","1616.0000","148272.0000","1.0900"
"UK","1898.0000","634.0000","1705.0000","154937.0000","1.1000"
"UK","1899.0000","628.0000","1809.0000","160457.0000","1.1300"
"UK","1900.0000","629.0000","1885.0000","159936.0000","1.1800"
"UK","1901.0000","689.0000","1893.0000","163303.0000","1.1600"
"UK","1902.0000","745.0000","1906.0000","165759.0000","1.1500"
"UK","1903.0000","771.0000","1881.0000","164222.0000","1.1500"
"UK","1904.0000","763.0000","1881.0000","166111.0000","1.1300"
"UK","1905.0000","755.0000","1949.0000","170976.0000","1.1400"
"UK","1906.0000","743.0000","2033.0000","175265.0000","1.1600"
"UK","1907.0000","730.0000","2113.0000","178599.0000","1.1800"
"UK","1908.0000","711.0000","2011.0000","171957.0000","1.1700"
"UK","1909.0000","703.0000","2052.0000","176024.0000","1.1700"
"UK","1910.0000","713.0000","2140.0000","180658.0000","1.1800"
"UK","1911.0000","685.0000","2227.0000","186619.0000","1.1900"
"UK","1912.0000","675.0000","2327.0000","189377.0000","1.2300"
"UK","1913.0000","661.0000","2420.0000","197178.0000","1.2300"
"UK","1914.0000","651.0000","2451.0000","201130.0000","1.2200"
"UK","1915.0000","1109.0000","2943.0000","212002.0000","1.3900"
"UK","1916.0000","2141.0000","3434.0000","214415.0000","1.6000"
"UK","1917.0000","4011.0000","4276.0000","213105.0000","2.0100"
"UK","1918.0000","5872.0000","5108.0000","217201.0000","2.3500"
"UK","1919.0000","7435.0000","5484.0000","200145.0000","2.7400"
"UK","1920.0000","7829.0000","5975.0000","180532.0000","3.3100"
"UK","1921.0000","7574.0000","4907.0000","163001.0000","3.0100"
"UK","1922.0000","7654.0000","4458.0000","171655.0000","2.6000"
"UK","1923.0000","7742.0000","4254.0000","176740.0000","2.4100"
"UK","1924.0000","7641.0000","4366.0000","185082.0000","2.3600"
"UK","1925.0000","7598.0000","4508.0000","191595.0000","2.3500"
"UK","1926.0000","7559.0000","4349.0000","185617.0000","2.3400"
"UK","1927.0000","7555.0000","4599.0000","199892.0000","2.3000"
"UK","1928.0000","7528.0000","4599.0000","201676.0000","2.2800"
"UK","1929.0000","7500.0000","4692.0000","207431.0000","2.2600"
"UK","1930.0000","7469.0000","4615.0000","205780.0000","2.2400"
"UK","1931.0000","7413.0000","4316.0000","196234.0000","2.2000"
"UK","1932.0000","7434.0000","4223.0000","196368.0000","2.1500"
"UK","1933.0000","7644.0000","4298.0000","202613.0000","2.1200"
"UK","1934.0000","7822.0000","4517.0000","214702.0000","2.1000"
"UK","1935.0000","7800.0000","4720.0000","222643.0000","2.1200"
"UK","1936.0000","7796.0000","4987.0000","233259.0000","2.1400"
"UK","1937.0000","7797.0000","5334.0000","241423.0000","2.2100"
"UK","1938.0000","9026.0000","5502.0000","243296.0000","2.2600"
"UK","1939.0000","7137.0000","5918.0000","254002.0000","2.3300"
"UK","1940.0000","7899.0000","7183.0000","279206.0000","2.5700"
"UK","1941.0000","10366.0000","8654.0000","303518.0000","2.8500"
"UK","1942.0000","13041.0000","9482.0000","308961.0000","3.0700"
"UK","1943.0000","15822.0000","10093.0000","314269.0000","3.2100"
"UK","1944.0000","18562.0000","10180.0000","300440.0000","3.3900"
"UK","1945.0000","21365.0000","9908.0000","286701.0000","3.4600"
"UK","1946.0000","24669.0000","9968.0000","279653.0000","3.5600"
"UK","1947.0000","25631.0000","10772.0000","276084.0000","3.9000"
"UK","1948.0000","25621.0000","11974.0000","284157.0000","4.2100"
"UK","1949.0000","25168.0000","12726.0000","293576.0000","4.3300"
"UK","1950.0000","25802.0000","13308.0000","302916.0000","4.3900"
"UK","1951.0000","25922.0000","14784.0000","311179.0000","4.7500"
"UK","1952.0000","25891.0000","15983.0000","311342.0000","5.1300"
"UK","1953.0000","26051.0000","17121.0000","323286.0000","5.3000"
"UK","1954.0000","26583.0000","18126.0000","336579.0000","5.3900"
"UK","1955.0000","26934.0000","19490.0000","348217.0000","5.6000"
"UK","1956.0000","27039.0000","20956.0000","351449.0000","5.9600"
"UK","1957.0000","27008.0000","22105.0000","357279.0000","6.1900"
"UK","1958.0000","27232.0000","23050.0000","358420.0000","6.4300"
"UK","1959.0000","27376.0000","24348.0000","373764.0000","6.5100"
"UK","1960.0000","27733.0000","25977.0000","393686.0000","6.6000"
"UK","1961.0000","28252.0000","27413.0000","402872.0000","6.8000"
"UK","1962.0000","28674.0000","28711.0000","407228.0000","7.0500"
"UK","1963.0000","29848.0000","30409.0000","424733.0000","7.1600"
"UK","1964.0000","30226.0000","33228.0000","448010.0000","7.4200"
"UK","1965.0000","30441.0000","35888.0000","457987.0000","7.8400"
"UK","1966.0000","31341.0000","38189.0000","466804.0000","8.1800"
"UK","1967.0000","31986.0000","40281.0000","478305.0000","8.4200"
"UK","1968.0000","34194.0000","43656.0000","498385.0000","8.7600"
"UK","1969.0000","33984.0000","47023.0000","508724.0000","9.2400"
"UK","1970.0000","33079.0000","51696.0000","520141.0000","9.9400"
"UK","1971.0000","33442.0000","57670.0000","531029.0000","10.8600"
"UK","1972.0000","35840.0000","64621.0000","550441.0000","11.7400"
"UK","1973.0000","36885.0000","74545.0000","590050.0000","12.6300"
"UK","1974.0000","40125.0000","84513.0000","582303.0000","14.5100"
"UK","1975.0000","45260.0000","106717.0000","578680.0000","18.4400"
"UK","1976.0000","56585.0000","126274.0000","593928.0000","21.2600"
"UK","1977.0000","67166.0000","146973.0000","608032.0000","24.1700"
"UK","1978.0000","79180.0000","169344.0000","627669.0000","26.9800"
"UK","1979.0000","86885.0000","199220.0000","644491.0000","30.9100"
"UK","1980.0000","95314.0000","233184.0000","631074.0000","36.9500"
"UK","1981.0000","113036.0000","256279.0000","622722.0000","41.1500"
"UK","1982.0000","118390.0000","281024.0000","635756.0000","44.2000"
"UK","1983.0000","127927.0000","307207.0000","658798.0000","46.6300"
"UK","1984.0000","142995.0000","329913.0000","676394.0000","48.7800"
"UK","1985.0000","158029.0000","361758.0000","700740.0000","51.6300"
"UK","1986.0000","171367.0000","389149.0000","728856.0000","53.3900"
"UK","1987.0000","185814.0000","428665.0000","762107.0000","56.2500"
"UK","1988.0000","197430.0000","478510.0000","800457.0000","59.7800"
"UK","1989.0000","197320.0000","525274.0000","818719.0000","64.1600"
"UK","1990.0000","192981.0000","570283.0000","825099.0000","69.1200"
"UK","1991.0000","198703.0000","598664.0000","813610.0000","73.5800"
"UK","1992.0000","214528.0000","622080.0000","814803.0000","76.3500"
"UK","1993.0000","248839.0000","654196.0000","832910.0000","78.5400"
"UK","1994.0000","306871.0000","692987.0000","868560.0000","79.7900"
"UK","1995.0000","349163.0000","733266.0000","894988.0000","81.9300"
"UK","1996.0000","390683.0000","781726.0000","920757.0000","84.9000"
"UK","1997.0000","419546.0000","830094.0000","951208.0000","87.2700"
"UK","1998.0000","418430.0000","879102.0000","985506.0000","89.2000"
"UK","1999.0000","421632.0000","928730.0000","1019735.0000","91.0800"
"UK","2000.0000","426240.0000","976533.0000","1059658.0000","92.1600"
"UK","2001.0000","425956.0000","1021828.0000","1085745.0000","94.1100"
"UK","2002.0000","434544.0000","1075564.0000","1108508.0000","97.0300"
"UK","2003.0000","448006.0000","1139746.0000","1139746.0000","100.0000"
"UK","2004.0000","497145.0000","1202960.0000","1171178.0000","102.5100"
"UK","2005.0000","484000.0000","1254060.0000","1195276.0000","104.7900"
"UK","2006.0000","531000.0000","1325800.0000","1229196.0000","107.5400"
"UK","2007.0000","574000.0000","1398880.0000","1266347.0000","110.6000"
"UK","2008.0000","613900.0000","1446110.0000","1275299.0000","113.1400"
"UK","2009.0000","769900.0000","1400980.0000","",""
"UK","2010.0000","1014000.0000","","",""
