"Country","Year","Debt","GDP","RGDP"
"US","1790.000000000","0.075463477","0.190000000","4.030000000"
"US","1791.000000000","0.077227925","0.200000000","4.270000000"
"US","1792.000000000","0.080358634","0.220000000","4.580000000"
"US","1793.000000000","0.078427405","0.250000000","4.950000000"
"US","1794.000000000","0.080747587","0.310000000","5.600000000"
"US","1795.000000000","0.083762172","0.380000000","5.960000000"
"US","1796.000000000","0.082064479","0.410000000","6.150000000"
"US","1797.000000000","0.079228529","0.410000000","6.270000000"
"US","1798.000000000","0.078408670","0.410000000","6.540000000"
"US","1799.000000000","0.082976294","0.440000000","7.000000000"
"US","1800.000000000","0.083038051","0.480000000","7.400000000"
"US","1801.000000000","0.080712632","0.510000000","7.760000000"
"US","1802.000000000","0.077054686","0.450000000","8.000000000"
"US","1803.000000000","0.086427121","0.480000000","8.140000000"
"US","1804.000000000","0.082312151","0.530000000","8.450000000"
"US","1805.000000000","0.075723271","0.560000000","8.900000000"
"US","1806.000000000","0.069218399","0.610000000","9.320000000"
"US","1807.000000000","0.065196318","0.580000000","9.330000000"
"US","1808.000000000","0.057023192","0.640000000","9.350000000"
"US","1809.000000000","0.053173218","0.680000000","10.070000000"
"US","1810.000000000","0.048005588","0.700000000","10.630000000"
"US","1811.000000000","0.045209738","0.760000000","11.110000000"
"US","1812.000000000","0.055962828","0.780000000","11.550000000"
"US","1813.000000000","0.081487846","0.960000000","12.210000000"
"US","1814.000000000","0.099833660","1.070000000","12.720000000"
"US","1815.000000000","0.127334934","0.920000000","12.820000000"
"US","1816.000000000","0.123491965","0.810000000","12.820000000"
"US","1817.000000000","0.103466634","0.760000000","13.120000000"
"US","1818.000000000","0.095529648","0.730000000","13.600000000"
"US","1819.000000000","0.091015566","0.720000000","13.860000000"
"US","1820.000000000","0.089987428","0.700000000","14.410000000"
"US","1821.000000000","0.093546677","0.730000000","15.180000000"
"US","1822.000000000","0.090875877","0.800000000","15.760000000"
"US","1823.000000000","0.090269778","0.750000000","16.330000000"
"US","1824.000000000","0.083788433","0.750000000","17.300000000"
"US","1825.000000000","0.081054060","0.810000000","18.070000000"
"US","1826.000000000","0.073987357","0.860000000","18.710000000"
"US","1827.000000000","0.067475044","0.910000000","19.290000000"
"US","1828.000000000","0.058421414","0.890000000","19.550000000"
"US","1829.000000000","0.048565407","0.920000000","20.300000000"
"US","1830.000000000","0.039123192","1.010000000","22.160000000"
"US","1831.000000000","0.024322235","1.040000000","23.990000000"
"US","1832.000000000","0.007001699","1.120000000","25.610000000"
"US","1833.000000000","0.004760082","1.150000000","26.400000000"
"US","1834.000000000","0.000033733","1.210000000","26.850000000"
"US","1835.000000000","0.000037513","1.330000000","28.270000000"
"US","1836.000000000","0.000336958","1.460000000","29.110000000"
"US","1837.000000000","0.003308124","1.540000000","29.370000000"
"US","1838.000000000","0.010434221","1.580000000","30.590000000"
"US","1839.000000000","0.003573344","1.650000000","31.370000000"
"US","1840.000000000","0.005250876","1.560000000","31.460000000"
"US","1841.000000000","0.013594481","1.640000000","32.170000000"
"US","1842.000000000","0.020201226","1.600000000","33.190000000"
"US","1843.000000000","0.032742922","1.550000000","34.840000000"
"US","1844.000000000","0.023461653","1.690000000","36.820000000"
"US","1845.000000000","0.015925303","1.840000000","39.150000000"
"US","1846.000000000","0.015550203","2.040000000","42.330000000"
"US","1847.000000000","0.038826535","2.390000000","45.210000000"
"US","1848.000000000","0.047044862","2.400000000","46.730000000"
"US","1849.000000000","0.063061859","2.400000000","47.380000000"
"US","1850.000000000","0.063452774","2.560000000","49.590000000"
"US","1851.000000000","0.068304796","2.700000000","53.580000000"
"US","1852.000000000","0.066199342","3.040000000","59.760000000"
"US","1853.000000000","0.059803118","3.280000000","64.650000000"
"US","1854.000000000","0.042242222","3.680000000","66.880000000"
"US","1855.000000000","0.035586957","3.940000000","69.670000000"
"US","1856.000000000","0.031972538","4.010000000","72.470000000"
"US","1857.000000000","0.028699832","4.140000000","72.840000000"
"US","1858.000000000","0.044911881","4.050000000","75.790000000"
"US","1859.000000000","0.058496838","4.380000000","81.280000000"
"US","1860.000000000","0.064842288","4.350000000","82.110000000"
"US","1861.000000000","0.090580874","4.600000000","83.570000000"
"US","1862.000000000","0.524176412","5.790000000","93.950000000"
"US","1863.000000000","1.119772139","7.620000000","101.180000000"
"US","1864.000000000","1.815784371","9.460000000","102.330000000"
"US","1865.000000000","2.680647870","9.880000000","105.260000000"
"US","1866.000000000","2.773236174","8.990000000","100.430000000"
"US","1867.000000000","2.678126104","8.340000000","102.150000000"
"US","1868.000000000","2.611687851","8.150000000","106.130000000"
"US","1869.000000000","2.588452214","7.850000000","109.020000000"
"US","1870.000000000","2.480672428","7.740000000","112.300000000"
"US","1871.000000000","2.353211332","7.590000000","117.600000000"
"US","1872.000000000","2.253251329","8.230000000","127.500000000"
"US","1873.000000000","2.234482993","8.750000000","138.300000000"
"US","1874.000000000","2.251690468","8.480000000","140.800000000"
"US","1875.000000000","2.232284532","8.160000000","140.600000000"
"US","1876.000000000","2.180395067","8.310000000","146.400000000"
"US","1877.000000000","2.205301392","8.520000000","153.700000000"
"US","1878.000000000","2.256205893","8.380000000","158.600000000"
"US","1879.000000000","2.349567482","9.360000000","177.100000000"
"US","1880.000000000","2.120415371","10.400000000","191.800000000"
"US","1881.000000000","2.069013570","11.600000000","215.800000000"
"US","1882.000000000","1.918312994","12.200000000","227.300000000"
"US","1883.000000000","1.884171728","12.300000000","233.500000000"
"US","1884.000000000","1.830528924","11.800000000","229.700000000"
"US","1885.000000000","1.863964873","11.600000000","230.500000000"
"US","1886.000000000","1.775063014","12.200000000","249.200000000"
"US","1887.000000000","1.657602593","13.100000000","267.300000000"
"US","1888.000000000","1.692858985","13.900000000","282.700000000"
"US","1889.000000000","1.619052922","13.900000000","290.800000000"
"US","1890.000000000","1.552140205","15.100000000","319.100000000"
"US","1891.000000000","1.545996592","15.400000000","322.800000000"
"US","1892.000000000","1.588464145","16.400000000","339.300000000"
"US","1893.000000000","1.545985686","15.400000000","319.600000000"
"US","1894.000000000","1.632253637","14.100000000","304.500000000"
"US","1895.000000000","1.676120983","15.600000000","339.200000000"
"US","1896.000000000","1.769840323","15.500000000","333.600000000"
"US","1897.000000000","1.817672666","16.200000000","348.000000000"
"US","1898.000000000","1.796531996","18.100000000","386.100000000"
"US","1899.000000000","1.991927307","19.500000000","412.500000000"
"US","1900.000000000","2.136961092","20.600000000","422.800000000"
"US","1901.000000000","2.143326934","22.300000000","445.300000000"
"US","1902.000000000","2.158610446","24.100000000","468.200000000"
"US","1903.000000000","2.202464782","25.900000000","481.800000000"
"US","1904.000000000","2.264003585","25.700000000","464.800000000"
"US","1905.000000000","2.274615064","28.800000000","517.200000000"
"US","1906.000000000","2.337161839","31.000000000","538.400000000"
"US","1907.000000000","2.457188062","33.900000000","552.200000000"
"US","1908.000000000","2.626806272","30.100000000","492.500000000"
"US","1909.000000000","2.639546241","32.200000000","528.100000000"
"US","1910.000000000","2.652665838","33.400000000","533.800000000"
"US","1911.000000000","2.765600607","34.300000000","551.100000000"
"US","1912.000000000","2.868373874","37.400000000","576.900000000"
"US","1913.000000000","2.916204914","39.100000000","599.700000000"
"US","1914.000000000","2.912499269","36.500000000","553.700000000"
"US","1915.000000000","3.058136873","38.700000000","568.800000000"
"US","1916.000000000","3.609244262","49.600000000","647.700000000"
"US","1917.000000000","5.717770280","59.700000000","631.700000000"
"US","1918.000000000","14.592161414","75.800000000","688.700000000"
"US","1919.000000000","27.390970113","78.300000000","694.200000000"
"US","1920.000000000","25.952456406","88.400000000","687.700000000"
"US","1921.000000000","23.977450553","73.600000000","671.900000000"
"US","1922.000000000","22.963381708","73.400000000","709.300000000"
"US","1923.000000000","22.349707365","85.400000000","802.600000000"
"US","1924.000000000","21.250812989","86.900000000","827.400000000"
"US","1925.000000000","20.516193888","90.600000000","846.800000000"
"US","1926.000000000","19.643216315","96.900000000","902.100000000"
"US","1927.000000000","18.511906932","95.500000000","910.800000000"
"US","1928.000000000","17.604293201","97.400000000","921.300000000"
"US","1929.000000000","16.931088484","103.600000000","977.000000000"
"US","1930.000000000","16.185309831","91.200000000","892.800000000"
"US","1931.000000000","16.801281492","76.500000000","834.900000000"
"US","1932.000000000","19.487002444","58.700000000","725.800000000"
"US","1933.000000000","22.538672560","56.400000000","716.400000000"
"US","1934.000000000","27.053141414","66.000000000","794.400000000"
"US","1935.000000000","28.700892625","73.300000000","865.000000000"
"US","1936.000000000","33.778543494","83.800000000","977.900000000"
"US","1937.000000000","36.424613732","91.900000000","1028.000000000"
"US","1938.000000000","37.164740315","86.100000000","992.600000000"
"US","1939.000000000","40.439532411","92.200000000","1072.800000000"
"US","1940.000000000","42.967531038","101.400000000","1166.900000000"
"US","1941.000000000","48.961443536","126.700000000","1366.100000000"
"US","1942.000000000","72.422445116","161.900000000","1618.200000000"
"US","1943.000000000","136.696090330","198.600000000","1883.100000000"
"US","1944.000000000","201.003387221","219.800000000","2035.200000000"
"US","1945.000000000","258.682187410","223.000000000","2012.400000000"
"US","1946.000000000","269.422099173","222.200000000","1792.200000000"
"US","1947.000000000","258.286383109","244.100000000","1776.100000000"
"US","1948.000000000","252.292246513","269.100000000","1854.200000000"
"US","1949.000000000","252.770359860","267.200000000","1844.700000000"
"US","1950.000000000","257.357352351","293.700000000","2006.000000000"
"US","1951.000000000","255.221976815","339.300000000","2161.100000000"
"US","1952.000000000","259.105178785","358.300000000","2243.900000000"
"US","1953.000000000","266.071061639","379.300000000","2347.200000000"
"US","1954.000000000","271.259599108","380.400000000","2332.400000000"
"US","1955.000000000","274.374222803","414.700000000","2500.300000000"
"US","1956.000000000","272.750813649","437.400000000","2549.700000000"
"US","1957.000000000","270.527171896","461.100000000","2601.100000000"
"US","1958.000000000","276.343217746","467.200000000","2577.600000000"
"US","1959.000000000","284.705907078","506.600000000","2762.500000000"
"US","1960.000000000","286.330760848","526.400000000","2830.900000000"
"US","1961.000000000","288.970938610","544.800000000","2896.900000000"
"US","1962.000000000","298.200822721","585.700000000","3072.400000000"
"US","1963.000000000","305.859632996","617.800000000","3206.700000000"
"US","1964.000000000","311.712899257","663.600000000","3392.300000000"
"US","1965.000000000","317.273898984","719.100000000","3610.100000000"
"US","1966.000000000","319.907087795","787.700000000","3845.300000000"
"US","1967.000000000","326.220937795","832.400000000","3942.500000000"
"US","1968.000000000","347.578406426","909.800000000","4133.400000000"
"US","1969.000000000","353.720253841","984.400000000","4261.800000000"
"US","1970.000000000","370.918706950","1038.300000000","4269.900000000"
"US","1971.000000000","398.129744456","1126.800000000","4413.300000000"
"US","1972.000000000","427.260460941","1237.900000000","4647.700000000"
"US","1973.000000000","458.141605312","1382.300000000","4917.000000000"
"US","1974.000000000","475.059815732","1499.500000000","4889.900000000"
"US","1975.000000000","533.189000000","1637.700000000","4879.500000000"
"US","1976.000000000","620.433000000","1824.600000000","5141.300000000"
"US","1977.000000000","698.840000000","2030.100000000","5377.700000000"
"US","1978.000000000","771.544000000","2293.800000000","5677.600000000"
"US","1979.000000000","826.519000000","2562.200000000","5855.000000000"
"US","1980.000000000","907.701000000","2788.100000000","5839.000000000"
"US","1981.000000000","997.855000000","3126.800000000","5987.200000000"
"US","1982.000000000","1142.034000000","3253.200000000","5870.900000000"
"US","1983.000000000","1377.210000000","3534.600000000","6136.200000000"
"US","1984.000000000","1572.266000000","3930.900000000","6577.100000000"
"US","1985.000000000","1823.103000000","4217.500000000","6849.300000000"
"US","1986.000000000","2125.302616658","4460.100000000","7086.500000000"
"US","1987.000000000","2350.276890953","4736.400000000","7313.300000000"
"US","1988.000000000","2602.337712041","5100.400000000","7613.900000000"
"US","1989.000000000","2857.430960187","5482.100000000","7885.900000000"
"US","1990.000000000","3233.313451777","5800.500000000","8033.900000000"
"US","1991.000000000","3665.303351697","5992.100000000","8015.100000000"
"US","1992.000000000","4064.620655522","6342.300000000","8287.100000000"
"US","1993.000000000","4411.488883139","6667.400000000","8523.400000000"
"US","1994.000000000","4692.749910013","7085.200000000","8870.700000000"
"US","1995.000000000","4973.982900709","7414.700000000","9093.700000000"
"US","1996.000000000","5224.810939136","7838.500000000","9433.900000000"
"US","1997.000000000","5413.146011397","8332.400000000","9854.300000000"
"US","1998.000000000","5526.193008898","8793.500000000","10283.500000000"
"US","1999.000000000","5656.270901615","9353.500000000","10779.800000000"
"US","2000.000000000","5674.178209887","9951.500000000","11226.000000000"
"US","2001.000000000","5807.463412200","10286.200000000","11347.200000000"
"US","2002.000000000","6228.235965597","10642.300000000","11553.000000000"
"US","2003.000000000","6783.231062744","11142.100000000","11840.700000000"
"US","2004.000000000","7379.052696330","11867.800000000","12263.800000000"
"US","2005.000000000","7932.709661724","12638.400000000","12638.400000000"
"US","2006.000000000","8506.973899215","13398.925000000","12976.200000000"
"US","2007.000000000","9007.653000000","14077.650000000","13254.100000000"
"US","2008.000000000","10699.805000000","14441.425000000","13312.175000000"
"US","2009.000000000","11909.829000000","14266.201000000","12948.730000000"
"US","2010.000000000","","14704.207000000","13145.307000000"
